,0
0,1274.537
1,983.3352
2,1797.8577
3,5860.713
4,1146.5074
5,895.2555
6,1146.5074
7,840.0657
8,1032.8179
9,1064.9452
10,1411.5376
11,1155.6213
12,1411.5376
13,1783.6653
14,870.3463
15,1032.8179
16,877.1564
17,1146.5074
18,1211.6805
19,1064.9452
20,1217.594
21,1211.6805
22,1113.7302
23,1146.5074
24,840.0657
25,1113.7302
26,840.4482
27,1410.2295
28,1487.31
29,1255.1973
30,1563.6482
31,912.15234
32,489.17978
33,1359.8119
34,1563.6482
35,1563.6482
36,1217.594
37,1217.594
38,1074.3911
39,1217.594
40,1217.594
41,1411.5376
42,1536.0613
43,1574.187
44,1217.594
