,0
0,1355.148
1,1319.2805
2,1147.8452
3,1417.9329
4,1009.42456
5,1147.8452
6,1258.1693
7,1417.9329
8,1182.1898
9,1319.2805
10,1417.9329
11,1234.7617
12,1417.9329
13,1417.9329
14,1368.7891
15,1581.3783
16,1258.1693
17,1490.8472
18,1259.6211
19,1144.7664
20,1274.537
21,1359.0059
22,1258.1693
23,1417.9329
24,1058.7778
25,1258.1693
26,1258.1693
27,1381.0852
28,1258.1693
29,1415.7885
30,1368.7891
31,1420.134
32,1417.9329
33,1258.1693
34,1258.1693
35,1417.9329
36,1234.7617
37,1258.1693
38,1258.1693
39,1420.1339
40,1258.1693
41,1319.2805
42,1258.1693
43,1417.9329
44,1355.148
45,1234.7617
46,1359.8119
47,1445.3296
48,1258.1693
49,1417.9329
50,1417.9329
51,1349.0729
52,1319.2805
53,1258.1693
54,1319.2805
55,1234.7617
56,1137.1222
57,1415.7885
