,0
0,79.21365
1,62.561016
2,80.462395
3,83.35406
4,86.542046
5,52.901672
6,133.06004
7,82.19287
8,65.47476
9,73.296104
10,93.64212
11,66.65106
12,73.83206
13,94.151794
14,94.13465
15,80.167595
16,90.23308
17,94.23332
18,67.51041
19,65.09398
20,66.75261
21,50.965797
22,83.82477
23,81.601105
24,79.28896
25,52.772728
26,68.12467
27,82.70796
28,50.965797
29,80.46997
30,74.05273
31,55.396782
32,86.9847
33,81.58046
34,105.18024
35,151.20195
36,70.10788
37,113.26083
38,83.82477
39,112.612076
40,99.34944
41,62.58323
42,71.71113
43,55.79837
44,58.400124
45,52.901672
46,75.59427
47,75.868576
48,72.9246
49,118.941376
50,147.13783
51,87.98325
52,113.58729
53,100.64145
54,139.49454
55,101.827835
56,147.25665
57,84.98869
58,64.08077
59,77.12182
60,137.83672
61,121.10019
62,151.81326
63,100.45389
64,113.55136
65,105.85153
66,135.01845
67,66.002396
68,103.05465
69,130.99301
70,127.38691
71,139.489
72,137.61023
73,127.777115
74,107.81194
75,174.68323
76,136.45856
77,80.14368
78,87.1081
79,69.981995
80,65.51396
81,80.18465
82,73.44284
83,73.350006
84,89.63231
85,80.14369
86,60.88202
87,88.35863
88,71.71565
89,68.04754
90,60.668694
91,80.69484
92,73.71963
93,66.42731
94,119.172165
95,152.46747
96,114.01207
97,73.83206
98,32.904984
99,94.1376
100,109.0553
101,95.12639
102,68.04754
103,95.12639
104,94.699356
105,129.53555
106,112.84387
107,108.175476
108,112.44674
109,110.393616
110,66.710106
111,116.81564
112,111.77054
113,90.990555
114,114.37553
115,92.88212
116,87.999306
117,99.61186
118,91.29518
119,95.76252
120,82.15142
121,83.40672
122,67.51041
123,87.98325
124,63.863194
125,89.47567
126,64.94575
127,85.43814
128,74.96106
129,62.560493
130,52.901672
131,81.36325
132,63.15322
133,68.09207
134,54.37871
135,25.033672
136,80.20018
137,71.979294
138,90.346634
139,81.86548
140,81.39926
141,59.101257
142,55.01275
143,85.64679
144,68.402664
145,90.84328
146,91.452324
147,60.076065
148,76.77635
149,50.943405
150,87.08328
151,77.87006
152,55.79724
153,71.87485
154,78.29532
155,83.823524
156,79.73864
157,76.641174
158,93.23941
159,24.923473
160,99.650604
161,67.60183
162,84.613495
163,74.51003
164,70.963875
165,60.76475
166,73.638306
167,84.257675
168,76.13837
169,60.96282
170,58.092983
171,74.20982
172,60.53066
173,86.16407
174,71.197586
175,75.814835
176,52.605797
177,52.605797
178,97.35747
179,84.64467
180,52.77849
181,67.60183
182,73.24051
183,69.38653
184,78.36586
185,49.76143
186,53.508934
187,83.95221
188,59.101257
189,52.169792
190,95.65426
191,79.215904
192,84.77325
193,66.42731
194,52.605797
195,70.28488
196,96.90488
197,92.26213
198,77.11685
199,59.684383
200,77.39084
201,60.01769
202,105.18299
203,64.97029
204,50.965797
205,69.34793
206,67.98547
207,73.42321
208,63.59914
209,51.815456
210,82.959465
211,86.57771
212,55.204796
213,59.484337
214,101.936066
215,73.83206
216,87.855774
217,81.62607
218,83.78017
219,86.38043
220,65.17409
221,54.635124
222,67.23485
223,60.765316
224,61.56446
225,62.63286
226,70.52944
227,65.98744
228,80.3232
229,85.31556
230,78.44833
231,66.002396
232,81.067535
233,81.22456
234,95.63489
235,80.43146
236,83.189835
237,86.29915
238,72.402084
239,80.8826
240,82.959465
241,74.29224
242,62.63327
243,62.320694
244,88.21496
245,76.113014
246,59.924126
247,91.22268
248,73.56793
249,66.3448
250,83.14842
251,61.425903
252,68.04754
253,92.754234
254,73.83207
255,80.069626
256,91.18996
257,59.85373
258,80.11452
259,80.57987
260,57.94718
261,83.44867
262,88.14634
263,63.45249
264,62.342453
265,88.554634
266,84.33128
267,58.78141
268,68.346176
269,70.781906
270,66.76999
271,79.370255
272,59.361378
273,43.69558
274,72.56656
