,0
0,1417.9329
1,1417.9329
2,1417.9329
3,1417.9329
4,1258.1693
5,1417.9329
6,1065.4856
7,1144.7664
8,1147.8452
9,1277.3281
10,1196.4854
11,1056.0989
12,1417.9329
13,1381.0852
14,1258.1693
15,1274.5371
16,1274.5369
17,1037.9291
18,1274.5369
19,1131.1249
20,1092.756
21,1359.8119
22,1258.1693
23,1258.1693
24,1274.5371
25,1417.9329
26,1347.9922
27,1404.0302
28,1359.8119
29,1153.8961
30,1258.1693
31,1015.0042
32,1153.8961
33,1274.5371
34,780.96265
35,685.6936
36,1258.1693
37,1234.3059
38,1258.1693
39,1234.3059
40,1234.3059
41,1325.2336
42,1144.7664
43,1234.7617
44,1181.1095
45,1417.9329
46,1258.1693
47,1258.1693
48,1291.1133
49,1142.4004
50,744.802
51,1258.1693
52,1136.6093
53,1131.967
54,973.4073
55,1142.4004
56,744.802
57,1381.0852
58,1381.0852
59,1274.5369
60,866.28467
61,1004.7964
62,849.44507
63,1136.6094
64,1266.5896
65,976.4529
66,897.1233
67,1359.8119
68,1136.6093
69,985.9248
70,939.0275
71,852.71906
72,814.56836
73,985.9248
74,1266.5896
75,480.89615
76,881.84375
77,1274.5369
78,1258.1693
79,1258.1693
80,1126.8787
81,1359.8119
82,1274.5369
83,1581.3783
84,1428.8857
85,1274.5369
86,1523.0076
87,1090.7588
88,1015.0043
89,1312.9194
90,1574.1871
91,1258.1693
92,1312.9194
93,976.0545
94,1062.6853
95,607.26624
96,903.135
97,1417.9329
98,905.67847
99,1192.763
100,950.0453
101,1324.3201
102,1312.9194
103,1324.3201
104,1324.3201
105,1005.351
106,1073.1466
107,1004.7964
108,912.99744
109,954.92554
110,936.92487
111,781.9813
112,1103.5394
113,1184.0645
114,801.69806
115,1274.5371
116,1258.1693
117,1153.8961
118,1153.8961
119,1359.8119
120,1274.5371
121,1144.7664
122,1274.5369
123,1258.1693
124,1359.8119
125,1200.8411
126,1417.9329
127,1258.1693
128,1417.9329
129,1359.812
130,1417.9329
131,1381.0852
132,1347.9922
133,1143.9038
134,1484.6091
135,1420.134
136,1258.1693
137,1327.0449
138,1063.4312
139,1258.1693
140,1274.5371
141,1274.5371
142,1359.8119
143,1359.8119
144,1194.0023
145,1347.9922
146,1601.4855
147,1347.9922
148,1608.4802
149,1359.8119
150,1182.1897
151,1131.1249
152,1417.9329
153,1608.4803
154,1258.1693
155,1347.9922
156,1258.1693
157,1417.9329
158,1381.0852
159,1040.5664
160,1182.1897
161,1145.748
162,1417.9329
163,1063.4312
164,1417.9329
165,1126.8787
166,1274.5371
167,1143.9038
168,1274.5371
169,1359.8119
170,1420.134
171,1182.1897
172,1274.5371
173,1274.5369
174,1417.9329
175,1037.9291
176,1359.8119
177,1359.8119
178,1291.1133
179,1181.1094
180,1417.9329
181,1145.748
182,1574.187
183,1581.3783
184,1258.1693
185,1581.3783
186,1058.7778
187,1126.8787
188,1274.5369
189,1359.8119
190,1274.5369
191,1198.6464
192,1258.1693
193,976.0545
194,1359.8119
195,1359.8119
196,1237.971
197,1144.7664
198,1258.1693
199,1274.537
200,967.5557
201,1274.537
202,1019.5325
203,1126.8787
204,1359.8119
205,1153.8961
206,1063.4312
207,1153.8961
208,1347.9922
209,1574.187
210,1274.5371
211,1312.9194
212,1445.3296
213,1474.4861
214,1153.8961
215,1417.9329
216,1063.4312
217,1654.8027
218,1445.3296
219,1126.8787
220,993.2477
221,1258.1693
222,1249.4213
223,1359.8119
224,1581.3783
225,1274.537
226,1581.3783
227,1347.9922
228,1274.5369
229,1415.7885
230,1200.8411
231,1359.8119
232,1359.8119
233,1271.9352
234,1007.52966
235,1274.5371
236,992.67847
237,1181.1094
238,1258.1693
239,1274.5369
240,1274.5371
241,1417.9329
242,1274.537
243,1417.9329
244,1274.5369
245,1417.9329
246,1274.5371
247,1153.8961
248,1153.8961
249,1037.9291
250,1258.1693
251,1101.3156
252,1312.9194
253,1144.7664
254,1417.9329
255,1258.1693
256,1153.8961
257,1138.9384
258,1381.0852
259,1055.438
260,1319.2805
261,1359.8119
262,1312.9194
263,1163.3517
264,1327.0449
265,1249.4211
266,1258.1693
267,1297.0325
268,1149.1135
269,1359.8119
270,936.92487
271,1258.1693
272,847.1386
273,1319.2805
274,1037.9292
