,0
0,0.6067189
1,0.64212316
2,0.64073545
3,0.6975299
4,0.69716597
5,0.688126
6,0.62148577
7,0.63855803
8,0.65713197
9,0.62131035
10,0.61613613
11,0.62339336
12,0.61292744
13,0.013257459
14,0.69376266
15,0.6346761
16,0.6671978
17,0.5542872
18,0.6397319
19,0.56010646
20,0.6967615
21,0.639696
22,0.688398
23,0.6368011
24,0.68966156
25,0.6672902
26,0.6397319
27,0.560446
28,0.6967615
29,0.64320207
30,0.6161361
31,0.63969594
32,0.61609447
33,0.6395712
34,0.6885755
35,0.688398
36,0.61609447
37,0.6387136
38,0.6397319
39,0.6457739
40,0.61613613
41,0.639696
42,0.64073545
43,0.6365656
44,0.6356201
45,0.6884531
46,0.6398097
47,0.56049323
48,0.6397999
49,0.628341
50,0.61613613
51,0.6004791
52,0.6144885
53,0.69716567
54,0.659538
55,0.6629112
56,0.6855688
57,0.61392903
58,0.7048159
59,0.6221808
60,0.6001652
61,0.6906669
62,0.6321102
63,0.69066703
64,0.641037
65,0.6864585
66,0.6221808
67,0.6544023
68,0.66549265
69,0.6855688
70,0.6497766
71,0.6404314
72,0.6855689
