,0
0,0.6183264
1,0.6947472
2,0.0041207587
3,0.5451796
4,0.6918642
5,0.73091936
6,0.5922258
7,0.8648154
8,0.6870145
9,0.5735321
10,0.6324345
11,0.68315244
12,0.6910919
13,0.71704847
14,0.530258
15,0.6947472
16,0.6231194
17,0.7740655
18,0.6324345
19,0.63217866
20,0.6088343
21,0.81428313
22,0.6468915
23,0.6772078
24,0.6482433
25,0.5769706
26,0.7308559
27,0.6150881
28,0.6146562
29,0.6481389
30,0.6799382
31,0.6860042
32,0.69353086
33,0.7308559
34,0.74391305
35,0.6855688
36,0.6072496
37,0.60468954
38,0.6848924
39,0.7084745
40,0.6848146
41,0.70000017
42,0.62266314
43,0.6901301
44,0.6442042
45,0.7976323
46,0.6441234
47,0.6415961
48,0.6136518
49,0.68100977
50,0.6815322
51,0.5617385
52,0.6508884
53,0.3512368
54,0.17260908
55,0.7308559
56,0.6328335
57,0.69799215
58,0.6839571
59,0.64535725
60,0.6447902
61,0.57089055
62,0.67882407
63,0.6295525
64,0.7282821
65,0.7394748
66,0.73091936
67,0.6008867
68,0.5947224
69,0.6888006
70,0.6373403
71,0.6201581
72,0.73091936
73,0.57180214
74,0.7007673
75,0.5633834
76,0.621866
77,0.6948504
78,0.8134287
79,0.6280472
80,0.60734224
81,0.62929857
82,0.70926756
83,0.6768512
84,0.6070847
85,0.7571638
86,0.73091936
87,0.71125996
88,0.6946517
89,0.6948504
90,0.65665734
91,0.6070847
92,0.6882416
93,0.82170343
94,0.71860224
95,0.67730284
96,0.5523375
97,0.64265186
98,0.6843072
99,0.60701144
100,0.69195575
101,0.71164924
102,0.60195255
103,0.81428313
104,0.57300746
105,0.6918565
106,0.6013236
107,0.5975864
108,0.81428313
109,0.81428313
110,0.6134875
111,0.5880957
112,0.564654
113,0.4420532
114,0.7308559
115,0.61529046
116,0.6016457
117,0.6065234
118,0.8132871
119,0.6972085
120,0.81428313
121,0.6906105
122,0.5690986
123,0.5910896
124,0.60697293
125,0.63868225
126,0.81428313
127,0.6772077
128,0.69813836
129,0.7571638
130,0.6115204
131,0.57176936
132,0.6448025
133,0.58340144
134,0.7289837
135,0.6948504
136,0.6948504
137,0.64203954
138,0.6411319
139,0.58815
140,0.6948504
141,0.69063926
142,0.6882465
143,0.6440173
144,0.6855688
145,0.58166015
146,0.7571638
147,0.6783388
148,0.68788064
149,0.63203335
150,0.68579185
151,0.63515896
152,0.6407528
153,0.5783603
154,0.68881774
155,0.6345285
156,0.7064871
157,0.5733191
158,0.73085594
159,0.69181603
160,0.6426344
161,0.7310932
162,0.61826473
163,0.6109706
164,0.6958256
165,0.5497234
166,0.7308559
167,0.73091936
168,0.6892675
169,0.81428313
170,0.8134287
171,0.5861099
172,0.68453586
173,0.6644048
174,0.6181272
175,0.72388893
176,0.6736474
177,0.59533733
178,0.81428313
