<<<<<<< HEAD
,0
0,0.64837
1,0.53206444
2,0.45050293
3,4.942382
4,0.5994002
5,0.60683584
6,0.5994002
7,0.52749395
8,0.43441468
9,1.1652305
10,0.3818693
11,0.25147134
12,0.3818693
13,0.33492127
14,1.128592
15,0.43441468
16,0.30885857
17,0.5994002
18,1.184843
19,1.1652305
20,0.4268133
21,1.184843
22,1.1279262
23,0.5994002
24,0.527494
25,1.1279262
26,1.4582121
27,0.36848956
28,0.37360418
29,0.6200677
30,0.29157117
31,0.5700177
32,0.55010796
33,0.4226792
34,0.2915712
35,0.2915712
36,0.4268133
37,0.4268133
38,0.010774955
39,0.4268133
40,0.4268133
41,0.38463467
42,0.40515453
43,1.3455939
44,0.4268133
=======
version https://git-lfs.github.com/spec/v1
oid sha256:f334d3e49803b93b26938afe3fa9cf04c74c5ddbc8120d535ec87dabd45820a7
size 588
>>>>>>> 753c8054 (aecond commit)
