<<<<<<< HEAD
,0
0,0.59167385
1,0.5680856
2,0.56383586
3,0.60899675
4,0.57034516
5,0.7308559
6,0.59510386
7,0.57947224
8,0.6356636
9,0.61579466
10,0.6317122
11,0.6170074
12,0.6855688
13,0.6221808
14,0.6001652
15,0.6906669
16,0.6544023
17,0.6907227
18,0.5455568
19,0.62107116
20,0.61383367
21,0.6948504
22,0.58562315
23,0.57809675
24,0.68703204
25,0.7309636
26,0.64203954
27,0.58815
28,0.6948504
29,0.5701475
30,0.5687376
31,0.697749
32,0.57253236
33,0.6344249
34,0.56203985
35,0.59805906
36,0.58318186
37,0.60237896
38,0.58562315
39,0.5968667
40,0.5853889
41,0.63481224
42,0.5724682
43,0.47327214
44,0.6881806
45,0.7308559
46,0.5573945
47,0.6671339
48,0.57113004
49,0.60136235
50,0.5945876
51,0.64535725
52,0.6038159
53,0.5937928
54,0.60001546
55,0.5942429
56,0.59463173
57,0.5542872
58,0.49084637
59,0.6839571
60,0.607085
61,0.6063589
62,0.5936807
63,0.59538853
64,0.603603
65,0.5914316
66,0.6056502
67,0.6882416
68,0.59381235
69,0.60097516
70,0.5971291
71,0.59434175
72,0.5941883
73,0.6065581
74,0.58133084
75,0.5942607
76,0.5902415
77,0.6397319
78,0.59288347
79,0.5826918
80,0.6965038
81,0.6885512
82,0.6659202
83,0.6882329
84,0.6672902
85,0.639732
86,0.6681818
87,0.560446
88,0.696627
89,0.6361665
90,0.57810855
91,0.5652348
92,0.6387136
93,0.6848924
94,0.5993964
95,0.5947792
96,0.5951073
97,0.6855688
98,0.29853642
99,0.59512293
100,0.58989966
101,0.59547716
102,0.6361665
103,0.59547716
104,0.59308124
105,0.5971744
106,0.5943899
107,0.5917992
108,0.5956433
109,0.5941761
110,0.69319755
111,0.57572794
112,0.5940691
113,0.59015703
114,0.59605956
115,0.6340507
116,0.64537513
117,0.63629156
118,0.6059674
119,0.6807646
120,0.6894423
121,0.5949857
122,0.5455568
123,0.64535725
124,0.69710433
125,0.68731946
126,0.7056344
127,0.6697689
128,0.5735321
129,0.7976323
130,0.7308559
131,0.59077966
132,0.67882407
133,0.6882465
134,0.6418872
135,0.5577884
136,0.5829878
137,0.64671713
138,0.6910919
139,0.61794126
140,0.62480944
141,0.624904
142,0.71704847
143,0.620278
144,0.6970962
145,0.59315383
146,0.6541522
147,0.6070847
148,0.688126
149,0.6947472
150,0.68453586
151,0.60592943
152,0.61711156
153,0.62148577
154,0.59566814
155,0.63133276
156,0.5497854
157,0.67707175
158,0.61991656
159,0.57615477
160,0.5941851
161,0.6772078
162,0.59355235
163,0.6150881
164,0.6819711
165,0.69012976
166,0.6480917
167,0.68788064
168,0.6820297
169,0.74388176
170,0.47072193
171,0.62753594
172,0.6519102
173,0.61416024
174,0.6668087
175,0.62383485
176,0.7571638
177,0.7571638
178,0.6008867
179,0.59710395
180,0.73091936
181,0.6772078
182,0.69246686
183,0.63855803
184,0.5950668
185,0.6067189
186,0.42174488
187,0.6895052
188,0.624904
189,0.7475853
190,0.6799667
191,0.5817158
192,0.56259346
193,0.6848924
194,0.7571638
195,0.72388893
196,0.6341156
197,0.6565671
198,0.6017834
199,0.6867815
200,0.6115204
201,0.7127361
202,0.59687054
203,0.69495535
204,0.6948504
205,0.62184346
206,0.6888006
207,0.57607543
208,0.618215
209,0.6078069
210,0.69567835
211,0.61556965
212,0.61618745
213,0.6113086
214,0.61075544
215,0.6855688
216,0.6892675
217,0.6455971
218,0.6404314
219,0.6922263
220,0.68218803
221,0.69406927
222,0.65665734
223,0.7064872
224,0.6103551
225,0.7107444
226,0.6424525
227,0.6415961
228,0.64212316
229,0.6453076
230,0.6790272
231,0.6882416
232,0.64073545
233,0.57926553
234,0.6821188
235,0.6386317
236,0.59238505
237,0.62339336
238,0.720789
239,0.5760039
240,0.69567835
241,0.5668691
242,0.6774428
243,0.81428313
244,0.6283411
245,0.59533733
246,0.69702363
247,0.6956878
248,0.57656395
249,0.6102734
250,0.63240314
251,0.61295325
252,0.6361665
253,0.56336254
254,0.6855689
255,0.6682661
256,0.6956413
257,0.4840258
258,0.58340144
259,0.5975285
260,0.6206846
261,0.69044614
262,0.5907774
263,0.5332018
264,0.5390364
265,0.6085918
266,0.5772371
267,0.62433994
268,0.6958256
269,0.6134566
270,0.69376266
271,0.6626874
272,0.55465734
273,0.4153289
274,0.68227446
=======
version https://git-lfs.github.com/spec/v1
oid sha256:a4be54604d0fecd2d1bdc25ccb1b8a0cc62aac82ae8a7eb9e0f551664c3c6805
size 3839
>>>>>>> 753c8054 (aecond commit)
