<<<<<<< HEAD
,0
0,4.992884
1,8.010072
2,32.872322
3,31.705524
4,7.8499403
5,5.5681353
6,18.290718
7,212.3227
8,124.23838
9,178.64081
10,3.964748
11,10.967178
12,5.2559714
13,3.2642684
14,23.14106
15,114.75687
16,13.575349
17,7.231806
18,3.5501022
19,8.796147
20,18.135181
21,14.070217
22,25.149755
23,17.782324
24,83.941315
25,30.500675
26,1.7771062
27,9.674683
28,24.763441
29,10.491186
30,10.382178
31,139.74274
32,5.7721586
33,4.905028
34,152.14757
35,91.67805
36,34.258698
37,10.967178
38,113.72024
39,2.7328534
40,11.109075
41,19.776592
42,8.359645
43,9.200059
44,3.1181464
45,7.3113804
46,11.760968
47,29.182232
48,40.45175
49,23.275204
50,4.456229
51,35.904884
52,62.57065
53,10.967178
54,26.789106
55,75.49829
56,109.02663
57,48.940693
58,64.848404
59,58.8068
60,48.401466
61,43.271336
62,136.76096
63,82.579796
64,26.579386
65,141.09961
66,175.49214
67,117.29967
68,5.9815817
69,3.2077982
70,14.347322
71,9.744987
72,39.84348
73,18.333252
74,24.83115
75,10.2164955
76,30.434692
77,44.89055
78,13.673971
79,18.395977
80,8.570432
81,11.292839
82,14.667925
83,26.424885
84,4.4863806
85,6.370335
86,5.6973705
87,147.51422
88,99.33522
89,5.0937476
90,7.2803426
91,15.680111
92,19.558323
93,11.739634
94,12.823744
95,85.38925
96,3.2151742
97,5.709139
98,18.230356
99,5.5683975
100,206.04373
101,26.132568
102,30.58514
103,64.65074
104,8.901418
105,24.572958
106,27.693077
107,282.5899
108,6.1192846
109,9.573141
110,112.149124
111,8.228624
112,4.120906
113,5.4330397
114,2.7270632
115,21.803425
116,15.039665
117,73.18541
118,16.313776
119,5.5420637
120,5.3369646
121,9.188327
122,5.9057617
123,3.99009
124,199.89352
125,152.02777
126,7.072455
127,7.0534554
128,3.3340406
129,19.811863
130,2.0941067
131,8.066604
132,208.8135
133,3.968405
134,3.2836123
135,9.663013
136,1.9300264
137,5.1347346
138,4.2213106
139,30.431494
140,2.8851871
141,28.839262
142,13.507102
143,6.314451
144,21.767235
145,2.7782674
146,2.845805
147,6.033731
148,106.09648
149,89.74493
150,6.9584217
151,17.274254
152,3.5501022
153,1.8396678
154,22.890438
155,9.02349
156,3.586924
157,159.81621
158,7.039619
159,21.856558
160,10.967178
161,2.586399
162,11.606596
163,9.622545
164,77.00836
165,116.715805
166,13.016191
167,7.9317126
168,128.06921
169,29.060343
170,13.734726
171,47.23719
172,3.8172607
173,18.835127
174,34.931118
175,39.542595
176,58.30031
177,4.4791894
178,3.58708
179,18.341568
180,39.887314
181,3.1997418
182,7.116247
183,5.297409
184,14.714379
185,41.04606
186,84.38135
187,18.948593
188,6.8892756
189,4.0924144
190,14.258789
191,46.153217
192,15.54121
193,81.79232
194,52.60241
195,12.160633
196,61.549103
197,68.50493
198,67.69517
199,4.277786
200,3.533031
201,21.706789
202,3.7122355
203,4.470753
204,15.490809
205,7.3147254
206,2.5404582
207,90.86032
208,47.75807
209,73.73237
210,104.66404
211,7.389106
212,6.959193
213,18.67376
214,14.014507
215,26.214006
216,8.549019
217,10.451363
218,4.633063
219,4.1447062
220,54.451904
221,106.33035
222,135.34766
223,45.711983
224,5.5896316
225,3.3134274
226,5.6859026
227,69.07735
228,10.764607
229,2.1115632
230,36.557343
231,4.894189
232,6.4541874
233,3.2158325
234,2.400692
235,53.994877
236,18.96519
237,227.07523
238,16.720812
239,3.98745
240,16.965868
241,142.86998
242,15.205867
243,6.527187
244,2.5332458
245,135.73395
246,18.952293
247,25.544062
248,137.53395
249,189.83273
250,120.41926
251,12.019389
252,2.40212
253,5.5434313
254,8.228973
255,199.19218
256,140.87082
257,26.214418
258,2.5429292
259,20.709198
260,10.749504
261,10.34053
262,80.89264
