<<<<<<< HEAD
,0
0,844.0841
1,306.88385
2,1182.1897
3,1273.3259
4,1767.7832
5,1237.971
6,636.09235
7,508.02414
8,488.45758
9,871.25543
10,929.3042
11,636.09235
12,7.0070086
13,636.09235
14,29.216335
15,550.4531
16,112.36078
17,669.24536
18,636.09235
19,636.09235
20,153.15332
21,42.34829
22,636.09235
23,621.2085
24,929.3042
25,1069.8479
26,636.09235
27,636.09235
28,844.0841
29,636.09235
30,185.63464
31,122.64962
32,1011.2953
33,54.060104
34,929.3042
35,929.3042
36,2039.2249
37,636.09235
38,1767.7832
39,963.7677
40,636.09235
41,153.15332
42,871.25543
43,112.36078
44,1274.5369
45,776.6979
46,508.02414
47,246.76442
48,929.3042
49,91.81993
50,871.25543
51,175.6781
52,1767.7832
53,636.09235
54,260.17014
55,280.7436
56,636.09235
57,195.97134
58,21.647018
59,1072.2665
60,105.758865
61,33.515762
62,33.51577
63,844.0841
64,32.051735
65,636.09235
66,929.3042
67,6.909186
68,1182.1897
69,139.4563
70,16.856218
71,145.94904
72,42.34829
73,974.2239
74,636.09235
75,6.986586
76,1657.867
77,844.0841
78,59.85712
79,671.3605
80,1153.8961
81,357.5991
82,8.095106
83,953.6378
84,59.0399
85,961.5851
86,953.6378
87,57.45201
88,91.81993
89,854.19666
90,1011.2953
91,234.31949
92,33.515762
93,50.316956
94,357.5991
95,3402.957
96,636.09235
97,1482.6582
98,636.09235
99,669.24536
100,1675.4158
101,113.46867
102,669.24536
103,1153.8961
104,929.3042
105,68.40689
106,45.350365
107,3952.0117
108,929.3042
109,49.538887
110,123.298775
111,1126.8787
112,7.007009
113,309.70416
114,636.09235
115,175.6781
116,50.383026
117,1167.1792
118,91.81993
119,546.77264
120,1090.7588
121,126.65292
122,253.24536
123,112.36078
124,1080.3301
125,112.36078
126,33.51577
127,1287.9902
128,848.03705
129,844.0841
130,774.2803
131,213.16614
132,322.25308
133,82.85461
134,636.09235
135,374.2374
136,953.6378
137,629.8977
138,1153.8961
139,636.09235
140,246.76442
141,348.16077
142,7.0070086
143,33.515762
144,762.3043
145,636.09235
146,508.02414
147,636.09235
148,508.54562
149,129.30649
150,153.15332
151,19.44093
152,636.09235
153,309.70416
154,1011.2953
155,953.6378
156,10.104952
157,948.3289
