<<<<<<< HEAD
,0
0,49.76143
1,80.3232
2,81.067535
3,66.41167
4,66.602264
5,76.77635
6,71.87485
7,69.38653
8,71.67088
9,71.7975
10,73.510254
11,86.29915
12,66.460236
13,44.32545
14,66.76999
15,37.900513
16,81.16768
17,84.98869
18,80.14368
19,78.88641
20,73.03187
21,81.624466
22,77.81674
23,78.48711
24,97.79525
25,89.63231
26,80.14368
27,88.35863
28,73.03187
29,87.60517
30,73.51027
31,81.624466
32,73.5394
33,81.570496
34,88.79355
35,77.81674
36,73.5394
37,73.71963
38,80.14368
39,85.4359
40,73.510254
41,81.624466
42,81.067535
43,76.31799
44,76.43843
45,86.585205
46,88.134865
47,88.18448
48,87.13852
49,88.21495
50,73.510254
51,91.94535
52,98.1333
53,91.647125
54,96.69813
55,68.65899
56,73.83206
57,101.18421
58,76.53806
59,94.151794
60,94.13465
61,80.167595
62,94.291565
63,80.16757
64,95.78946
65,70.68501
66,94.151794
67,90.23308
68,108.11094
69,73.83206
70,94.13962
71,83.78015
72,73.83208
=======
version https://git-lfs.github.com/spec/v1
oid sha256:6ab3ed485e9ffa750ca93d98ad2af6e1a735deda4b13eef6cfc426e8b09a3513
size 884
>>>>>>> 753c8054 (aecond commit)
