<<<<<<< HEAD
,0
0,1581.3783
1,1274.5369
2,1359.8119
3,1153.8961
4,1292.2358
5,1608.4802
6,1608.4803
7,1581.3783
8,1578.2981
9,1608.4802
10,1277.3281
11,1181.1094
12,1009.42456
13,526.80444
14,936.92487
15,695.79
16,1144.7664
17,1381.0852
18,1274.5369
19,1347.9922
20,927.1898
21,1258.1693
22,1312.9196
23,1234.5056
24,1172.914
25,1428.8857
26,1274.5369
27,1090.7588
28,927.1898
29,1258.1693
30,1277.3281
31,1258.1692
32,1277.3281
33,1258.1693
34,1234.5056
35,1312.9196
36,1277.3281
37,1312.9194
38,1274.5369
39,1417.9329
40,1277.3281
41,1258.1693
42,1359.8119
43,1237.971
44,1237.971
45,1237.9712
46,1153.8961
47,1051.4102
48,1144.7664
49,1274.5369
50,1277.3281
51,1164.1548
52,1143.0474
53,1153.8961
54,1144.7664
55,567.2909
56,1417.9329
57,1262.0762
58,1144.7664
59,1381.0852
60,1258.1693
61,1274.5371
62,1258.1693
63,1274.5371
64,1153.8961
65,834.56915
66,1381.0852
67,1274.5369
68,1258.1693
69,1417.9329
70,1258.1692
71,1445.3296
72,1417.9329
=======
version https://git-lfs.github.com/spec/v1
oid sha256:b046d6adb2293e3ac26ef8758adb2b1cb83050147d41a3da90966724f3d3c2bd
size 934
>>>>>>> 753c8054 (aecond commit)
