<<<<<<< HEAD
SC,opcode,oldlabel,label
11.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH PUSH JUMP JUMPDEST STOP JUMPDEST PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND DUP JUMP JUMPDEST PUSH PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND GT ISZERO PUSH JUMPI TIMESTAMP PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND GT ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST JUMPDEST JUMP STOP,0,0
21.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD TIMESTAMP LT ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH SWAP POP SWAP SWAP POP JUMP JUMPDEST PUSH PUSH MSTORE DUP PUSH MSTORE PUSH PUSH SHA3 PUSH SWAP POP SWAP POP SLOAD DUP JUMP JUMPDEST PUSH PUSH MSTORE DUP PUSH MSTORE PUSH PUSH SHA3 PUSH SWAP POP SWAP POP SLOAD DUP JUMP STOP,0,0
31.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH SLOAD DUP JUMP STOP,0,0
41.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH PUSH TIMESTAMP GT ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH SWAP POP SWAP SWAP POP POP JUMP STOP,0,0
51.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH PUSH PUSH AND CALLER PUSH AND EQ ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH TIMESTAMP GT ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH SWAP POP SWAP SWAP POP JUMP STOP,0,0
61.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH PUSH DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH PUSH EXP DUP SLOAD DUP PUSH MUL NOT AND SWAP DUP ISZERO ISZERO MUL OR SWAP SSTORE POP TIMESTAMP PUSH DUP SWAP SSTORE POP POP JUMP JUMPDEST PUSH SLOAD DUP JUMP STOP,0,0
71.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP ADD DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP DUP PUSH ADD PUSH DUP SWAP DIV MUL PUSH ADD PUSH MLOAD SWAP DUP ADD PUSH MSTORE DUP SWAP SWAP SWAP SWAP DUP DUP MSTORE PUSH ADD DUP DUP DUP DUP DUP CALLDATACOPY DUP ADD SWAP POP POP POP POP POP POP SWAP SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH DUP PUSH AND CALLVALUE DUP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP DUP GAS CALL SWAP POP POP POP ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH SWAP POP SWAP SWAP POP POP JUMP STOP,0,0
81.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH NOT AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH AND DUP DUP PUSH MLOAD DUP DUP PUSH NOT AND PUSH NOT AND DUP MSTORE PUSH ADD SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP DUP GAS CALL SWAP POP POP POP POP POP POP POP JUMP STOP,0,0
91.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH SLOAD DUP JUMP STOP,0,0
101.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH DUP SLOAD TIMESTAMP GT ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH SLOAD GT ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH SLOAD SWAP POP SWAP JUMP JUMPDEST PUSH SLOAD DUP JUMP STOP,0,0
