SC,opcode,label
BECToken25.txt,PUSH PUSH MSTORE CALLDATASIZE ISZERO PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP ADD DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP DUP PUSH MUL PUSH ADD PUSH MLOAD SWAP DUP ADD PUSH MSTORE DUP SWAP SWAP SWAP SWAP DUP DUP MSTORE PUSH ADD DUP DUP PUSH MUL DUP DUP DUP CALLDATACOPY DUP ADD SWAP POP POP POP POP POP POP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP DUP PUSH JUMP JUMPDEST SWAP POP JUMPDEST JUMPDEST SWAP SWAP POP POP JUMP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP DUP DUP PUSH JUMP JUMPDEST SWAP POP JUMPDEST JUMPDEST SWAP SWAP POP POP POP JUMP JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND CALLER PUSH AND EQ ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH PUSH PUSH EXP DUP SLOAD DUP PUSH MUL NOT AND SWAP DUP ISZERO ISZERO MUL OR SWAP SSTORE POP PUSH PUSH MLOAD PUSH MLOAD DUP SWAP SUB SWAP LOG JUMPDEST JUMPDEST JUMPDEST JUMP JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND DUP JUMP JUMPDEST PUSH PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD SWAP POP JUMPDEST SWAP SWAP POP JUMP JUMPDEST PUSH DUP PUSH DUP PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST DUP MLOAD SWAP POP DUP DUP MUL SWAP POP PUSH DUP GT DUP ISZERO PUSH JUMPI POP PUSH DUP GT ISZERO JUMPDEST ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP GT DUP ISZERO PUSH JUMPI POP DUP PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD LT ISZERO JUMPDEST ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH SWAP POP JUMPDEST DUP DUP LT ISZERO PUSH JUMPI PUSH DUP PUSH PUSH DUP DUP DUP MLOAD DUP LT ISZERO ISZERO PUSH JUMPI INVALID JUMPDEST SWAP PUSH ADD SWAP PUSH MUL ADD MLOAD PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH DUP DUP DUP MLOAD DUP LT ISZERO ISZERO PUSH JUMPI INVALID JUMPDEST SWAP PUSH ADD SWAP PUSH MUL ADD MLOAD PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP DUP DUP DUP MLOAD DUP LT ISZERO ISZERO PUSH JUMPI INVALID JUMPDEST SWAP PUSH ADD SWAP PUSH MUL ADD MLOAD PUSH AND CALLER PUSH AND PUSH DUP PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP LOG JUMPDEST DUP DUP PUSH ADD SWAP POP POP PUSH JUMP JUMPDEST PUSH SWAP POP JUMPDEST JUMPDEST POP POP POP SWAP SWAP POP POP JUMP JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND CALLER PUSH AND EQ ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH PUSH PUSH EXP DUP SLOAD DUP PUSH MUL NOT AND SWAP DUP ISZERO ISZERO MUL OR SWAP SSTORE POP PUSH PUSH MLOAD PUSH MLOAD DUP SWAP SUB SWAP LOG JUMPDEST JUMPDEST JUMPDEST JUMP JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND DUP JUMP JUMPDEST PUSH PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP DUP PUSH JUMP JUMPDEST SWAP POP JUMPDEST JUMPDEST SWAP SWAP POP POP JUMP JUMPDEST PUSH PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD SWAP POP JUMPDEST SWAP SWAP POP POP JUMP JUMPDEST PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND CALLER PUSH AND EQ ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH AND DUP PUSH AND EQ ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST DUP PUSH AND PUSH PUSH SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND PUSH PUSH MLOAD PUSH MLOAD DUP SWAP SUB SWAP LOG DUP PUSH PUSH PUSH EXP DUP SLOAD DUP PUSH MUL NOT AND SWAP DUP PUSH AND MUL OR SWAP SSTORE POP JUMPDEST JUMPDEST POP JUMP JUMPDEST PUSH DUP PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP DUP PUSH AND CALLER PUSH AND PUSH DUP PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP LOG PUSH SWAP POP JUMPDEST SWAP SWAP POP POP JUMP JUMPDEST PUSH DUP PUSH AND DUP PUSH AND EQ ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP GT DUP ISZERO PUSH JUMPI POP PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD DUP GT ISZERO JUMPDEST ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD DUP GT ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH DUP PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH DUP PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP DUP PUSH AND DUP PUSH AND PUSH DUP PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP LOG PUSH SWAP POP JUMPDEST SWAP SWAP POP POP POP JUMP JUMPDEST PUSH DUP DUP GT ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST DUP DUP SUB SWAP POP JUMPDEST SWAP SWAP POP POP JUMP JUMPDEST PUSH DUP DUP DUP ADD SWAP POP DUP DUP LT ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST DUP SWAP POP JUMPDEST POP SWAP SWAP POP POP JUMP JUMPDEST PUSH DUP PUSH AND DUP PUSH AND EQ ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP GT DUP ISZERO PUSH JUMPI POP PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD DUP GT ISZERO JUMPDEST ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH DUP PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP PUSH DUP PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD PUSH SWAP SWAP SWAP PUSH AND JUMP JUMPDEST PUSH PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 DUP SWAP SSTORE POP DUP PUSH AND CALLER PUSH AND PUSH DUP PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP LOG PUSH SWAP POP JUMPDEST SWAP SWAP POP POP JUMP STOP,7
integer_overflow_11.txt,PUSH PUSH MSTORE PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH DUP PUSH DUP DUP DUP SLOAD ADD SWAP POP POP DUP SWAP SSTORE POP JUMPDEST SWAP SWAP POP JUMP STOP,7
integer_overflow_add1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST DUP PUSH DUP DUP DUP SLOAD ADD SWAP POP POP DUP SWAP SSTORE POP POP JUMP STOP,7
integer_overflow_benign_11.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH DUP PUSH SLOAD SUB SWAP POP POP POP JUMP STOP,7
integer_overflow_mapping_sym_11.txt,PUSH PUSH MSTORE PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST INVALID JUMPDEST CALLVALUE ISZERO PUSH JUMPI INVALID JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH PUSH DUP DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH DUP DUP SLOAD SUB SWAP POP POP DUP SWAP SSTORE POP JUMPDEST POP POP JUMP STOP,7
integer_overflow_minimal1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST DUP PUSH DUP DUP DUP SLOAD SUB SWAP POP POP DUP SWAP SSTORE POP POP JUMP STOP,7
integer_overflow_mul1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST DUP PUSH DUP DUP DUP SLOAD MUL SWAP POP POP DUP SWAP SSTORE POP POP JUMP STOP,7
integer_overflow_multitx_multifunc_feasible1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH DUP SLOAD EQ ISZERO PUSH JUMPI PUSH JUMP JUMPDEST DUP PUSH PUSH DUP DUP SLOAD SUB SWAP POP POP DUP SWAP SSTORE POP JUMPDEST POP JUMP JUMPDEST PUSH PUSH DUP SWAP SSTORE POP JUMP STOP,7
integer_overflow_multitx_onefunc_feasible1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH DUP SLOAD EQ ISZERO PUSH JUMPI PUSH PUSH DUP SWAP SSTORE POP PUSH JUMP JUMPDEST DUP PUSH PUSH DUP DUP SLOAD SUB SWAP POP POP DUP SWAP SSTORE POP JUMPDEST POP JUMP STOP,7
token1.txt,PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST PUSH PUSH DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP ISZERO ISZERO ISZERO ISZERO DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH DUP PUSH DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD SWAP POP SWAP SWAP POP JUMP JUMPDEST PUSH DUP DUP PUSH DUP CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 SLOAD SUB LT ISZERO ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST DUP PUSH DUP CALLER PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH DUP DUP SLOAD SUB SWAP POP POP DUP SWAP SSTORE POP DUP PUSH DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP DUP MSTORE PUSH ADD PUSH SHA3 PUSH DUP DUP SLOAD ADD SWAP POP POP DUP SWAP SSTORE POP PUSH SWAP POP SWAP SWAP POP POP JUMP STOP,7
