SC,opcode,label
500001.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP ADD DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP DUP PUSH ADD PUSH DUP SWAP DIV MUL PUSH ADD PUSH MLOAD SWAP DUP ADD PUSH MSTORE DUP SWAP SWAP SWAP SWAP DUP DUP MSTORE PUSH ADD DUP DUP DUP DUP DUP CALLDATACOPY DUP ADD SWAP POP POP POP POP POP POP SWAP SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH DUP DUP MLOAD GT ISZERO PUSH JUMPI DUP PUSH AND DUP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP SWAP POP DUP ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST JUMPDEST POP POP POP JUMP STOP,3
500031.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH DUP PUSH AND DUP DUP DUP PUSH MLOAD PUSH ADD DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD DUP DUP MSTORE PUSH ADD DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP POP POP POP POP PUSH MLOAD PUSH DUP DUP SUB SUB DUP MSTORE SWAP PUSH MSTORE PUSH PUSH NOT AND PUSH DUP ADD DUP MLOAD PUSH DUP DUP DUP AND OR DUP MSTORE POP POP POP POP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP SWAP SWAP POP POP POP JUMP STOP,3
500051.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP ADD DUP CALLDATALOAD SWAP PUSH ADD SWAP DUP DUP PUSH ADD PUSH DUP SWAP DIV MUL PUSH ADD PUSH MLOAD SWAP DUP ADD PUSH MSTORE DUP SWAP SWAP SWAP SWAP DUP DUP MSTORE PUSH ADD DUP DUP DUP DUP DUP CALLDATACOPY DUP ADD SWAP POP POP POP POP POP POP SWAP SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH AND DUP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP POP POP JUMP STOP,3
500061.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH DUP CALLDATASIZE PUSH DUP GAS DELEGATECALL RETURNDATASIZE PUSH DUP RETURNDATACOPY POP POP JUMP STOP,3
500071.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND DUP JUMP JUMPDEST PUSH SLOAD DUP JUMP JUMPDEST PUSH PUSH PUSH DUP DUP SLOAD ADD SWAP POP POP DUP SWAP SSTORE POP PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND PUSH MLOAD DUP DUP PUSH DUP MSTORE POP PUSH ADD SWAP POP PUSH MLOAD DUP SWAP SUB SWAP SHA3 PUSH SWAP DIV PUSH SLOAD PUSH MLOAD DUP PUSH AND PUSH MUL DUP MSTORE PUSH ADD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST CALLER PUSH AND PUSH PUSH PUSH SLOAD MUL SWAP DUP ISZERO MUL SWAP PUSH MLOAD PUSH PUSH MLOAD DUP DUP SUB DUP DUP DUP DUP CALL SWAP POP POP POP POP ISZERO DUP ISZERO PUSH JUMPI RETURNDATASIZE PUSH DUP RETURNDATACOPY RETURNDATASIZE PUSH REVERT JUMPDEST POP JUMP JUMPDEST PUSH SLOAD DUP JUMP STOP,3
500081.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH AND DUP PUSH MLOAD PUSH ADD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD PUSH DUP DUP SUB SUB DUP MSTORE SWAP PUSH MSTORE PUSH PUSH NOT AND PUSH DUP ADD DUP MLOAD PUSH DUP DUP DUP AND OR DUP MSTORE POP POP POP POP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP POP POP JUMP STOP,3
500101.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH AND PUSH MLOAD DUP DUP PUSH DUP MSTORE POP PUSH ADD SWAP POP PUSH MLOAD DUP SWAP SUB SWAP SHA3 PUSH SWAP DIV DUP PUSH MLOAD DUP PUSH AND PUSH MUL DUP MSTORE PUSH ADD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP ISZERO ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP POP JUMP STOP,3
500191.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST DUP PUSH AND PUSH MLOAD DUP DUP PUSH DUP MSTORE POP PUSH ADD SWAP POP PUSH MLOAD DUP SWAP SUB SWAP SHA3 PUSH SWAP DIV DUP PUSH MLOAD DUP PUSH AND PUSH MUL DUP MSTORE PUSH ADD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP POP POP POP JUMP STOP,3
500201.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST STOP JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP PUSH AND PUSH AND DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST STOP JUMPDEST PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND PUSH AND PUSH MLOAD DUP DUP PUSH DUP MSTORE POP PUSH ADD SWAP POP PUSH MLOAD DUP SWAP SUB SWAP SHA3 PUSH SWAP DIV PUSH MLOAD DUP PUSH AND PUSH MUL DUP MSTORE PUSH ADD PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP POP JUMP JUMPDEST PUSH DUP SWAP SLOAD SWAP PUSH EXP SWAP DIV PUSH AND DUP JUMP JUMPDEST DUP PUSH DUP PUSH EXP DUP SLOAD DUP PUSH MUL NOT AND SWAP DUP PUSH AND MUL OR SWAP SSTORE POP POP JUMP STOP,3
500211.txt,PUSH PUSH MSTORE CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH DUP PUSH PUSH CODECOPY PUSH RETURN STOP PUSH PUSH MSTORE PUSH CALLDATASIZE LT PUSH JUMPI PUSH CALLDATALOAD PUSH SWAP DIV PUSH AND DUP PUSH EQ PUSH JUMPI JUMPDEST PUSH DUP REVERT JUMPDEST CALLVALUE DUP ISZERO PUSH JUMPI PUSH DUP REVERT JUMPDEST POP PUSH PUSH DUP CALLDATASIZE SUB DUP ADD SWAP DUP DUP CALLDATALOAD PUSH AND SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP DUP CALLDATALOAD SWAP PUSH ADD SWAP SWAP SWAP SWAP POP POP POP PUSH JUMP JUMPDEST PUSH MLOAD DUP DUP DUP MSTORE PUSH ADD SWAP POP POP PUSH MLOAD DUP SWAP SUB SWAP RETURN JUMPDEST PUSH DUP PUSH AND DUP DUP PUSH MLOAD PUSH ADD DUP DUP DUP MSTORE PUSH ADD DUP DUP MSTORE PUSH ADD SWAP POP POP POP PUSH MLOAD PUSH DUP DUP SUB SUB DUP MSTORE SWAP PUSH MSTORE PUSH PUSH NOT AND PUSH DUP ADD DUP MLOAD PUSH DUP DUP DUP AND OR DUP MSTORE POP POP POP POP PUSH MLOAD DUP DUP DUP MLOAD SWAP PUSH ADD SWAP DUP DUP DUP PUSH JUMPDEST DUP DUP LT ISZERO PUSH JUMPI DUP DUP ADD MLOAD DUP DUP ADD MSTORE PUSH DUP ADD SWAP POP PUSH JUMP JUMPDEST POP POP POP POP SWAP POP SWAP DUP ADD SWAP PUSH AND DUP ISZERO PUSH JUMPI DUP DUP SUB DUP MLOAD PUSH DUP PUSH SUB PUSH EXP SUB NOT AND DUP MSTORE PUSH ADD SWAP POP JUMPDEST POP SWAP POP POP PUSH PUSH MLOAD DUP DUP SUB DUP DUP GAS DELEGATECALL SWAP POP POP POP SWAP SWAP POP POP POP JUMP STOP,3
